"month","Anti-social behaviour","Bicycle theft","Burglary","Criminal damage and arson","Drugs","Other crime","Other theft","Possession of weapons","Public order","Robbery","Shoplifting","Theft from the person","Vehicle crime","Violence and sexual offences"
2024-01-01,9088,958,4963,4772,2655,766,10136,352,3766,2706,4898,6755,8838,19456
2024-02-01,9309,1105,4341,4478,2671,697,10389,353,4063,2529,5200,7730,8027,19266
2024-03-01,9846,1212,4617,4437,2591,741,8874,396,4260,2740,5885,9177,8400,20080
2024-04-01,10054,1203,4215,4425,2496,851,8626,318,4139,2557,6737,8560,8444,19179
2024-05-01,11585,1385,3986,4526,2772,915,8847,374,4779,2978,6882,7285,8396,21652
2024-06-01,11702,1431,3869,4584,2716,926,9566,336,4857,2744,6710,7500,7842,21509
2024-07-01,11784,1451,4170,5189,2904,954,9311,344,5119,2647,7860,7424,7898,22299
2024-08-01,11738,1481,4188,4975,3092,969,8637,383,4989,2674,8022,7085,7794,20911
2024-09-01,10548,1500,4086,4536,3715,1081,8350,413,4621,2710,7811,6941,7615,20977
2024-10-01,10812,1483,4588,4560,4014,1182,9225,386,4831,3071,8107,8936,8216,21626
2024-11-01,9976,1259,4596,4494,4208,1118,9150,359,4470,2891,7815,10205,7843,21092
